City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
545,Phan Thiet,10.9333,108.1,81.23,58,96,4.56,VN,2021-02-07 01:58:24,overcast clouds
546,Talaya,61.3833,152.75,-6.61,86,100,6.2,RU,2021-02-07 01:58:24,overcast clouds
547,Prince Rupert,54.3161,-130.3201,41.0,81,90,8.05,CA,2021-02-07 01:58:24,overcast clouds
548,Djambala,-2.5447,14.7533,69.42,90,100,4.68,CG,2021-02-07 01:58:24,overcast clouds
549,Selma,36.5708,-119.6121,64.4,51,1,3.44,US,2021-02-07 01:58:24,clear sky
550,Singaraja,-8.112,115.0882,83.1,73,29,6.46,ID,2021-02-07 01:58:24,scattered clouds
551,Enid,36.3956,-97.8784,26.6,80,90,11.5,US,2021-02-07 01:53:35,overcast clouds
552,Batagay-Alyta,67.8006,130.4114,-25.87,83,100,1.61,RU,2021-02-07 01:58:24,overcast clouds
553,Bacolod,10.6667,122.95,83.82,71,68,13.38,PH,2021-02-07 01:58:25,broken clouds
554,Awjilah,29.1081,21.2869,58.21,41,0,9.19,LY,2021-02-07 01:58:25,clear sky
555,Yankton,42.8711,-97.3973,-0.99,65,1,3.33,US,2021-02-07 01:58:25,clear sky
556,Tiarei,-17.5333,-149.3333,86.0,62,20,12.66,PF,2021-02-07 01:58:25,light rain
557,Sandy Bay,-42.913,147.3532,66.0,63,75,17.27,AU,2021-02-07 01:58:25,broken clouds
558,Banda Aceh,5.5577,95.3222,82.08,72,48,7.7,ID,2021-02-07 01:58:25,scattered clouds
559,Argenta,44.6124,11.8356,48.0,98,100,4.81,IT,2021-02-07 01:58:25,overcast clouds
560,Copiapo,-27.3667,-70.3333,60.8,82,90,12.66,CL,2021-02-07 01:58:26,overcast clouds
561,Cabinda,-5.55,12.2,79.5,86,100,8.63,AO,2021-02-07 01:58:26,overcast clouds
562,Marathon,44.9,-89.7668,-4.0,54,1,12.66,US,2021-02-07 01:58:26,clear sky
563,Clarence Town,-32.5833,151.7833,82.99,47,75,14.97,AU,2021-02-07 01:58:26,broken clouds
564,Oyama,36.3,139.8,57.0,47,20,8.05,JP,2021-02-07 01:58:26,few clouds
565,Sorland,67.667,12.6934,35.4,79,11,17.87,NO,2021-02-07 01:58:26,few clouds
566,Luau,-10.7073,22.2247,64.27,99,100,3.83,AO,2021-02-07 01:58:27,overcast clouds
567,Hervey Bay,-25.2986,152.8535,91.0,45,0,10.36,AU,2021-02-07 01:56:49,clear sky
568,Skibbereen,51.55,-9.2667,35.6,93,20,9.22,IE,2021-02-07 01:58:27,few clouds
569,Iqaluit,63.7506,-68.5145,26.6,68,90,11.5,CA,2021-02-07 01:58:27,overcast clouds
570,Kui Buri,12.0828,99.8543,84.99,48,0,1.66,TH,2021-02-07 01:57:21,clear sky
571,Lardos,36.0942,28.0157,55.4,88,0,3.44,GR,2021-02-07 01:58:27,clear sky
572,Yeppoon,-23.1333,150.7333,95.0,46,75,5.75,AU,2021-02-07 01:58:27,broken clouds
573,Ust-Nera,64.5667,143.2,-20.11,77,30,5.39,RU,2021-02-07 01:58:27,scattered clouds
574,Vila Franca Do Campo,37.7167,-25.4333,59.0,88,75,23.02,PT,2021-02-07 01:58:28,broken clouds
575,Ulagan,50.6321,87.9563,8.33,82,0,4.12,RU,2021-02-07 01:58:28,clear sky
576,Ancud,-41.8697,-73.8203,62.6,51,0,11.5,CL,2021-02-07 01:58:21,clear sky
577,Ziro,27.6333,93.8333,42.06,75,0,3.18,IN,2021-02-07 01:58:28,clear sky
578,Narkevychi,49.5172,26.6418,21.11,90,98,8.14,UA,2021-02-07 01:58:28,overcast clouds
579,Veraval,20.9,70.3667,68.23,33,0,15.17,IN,2021-02-07 01:58:28,clear sky
580,Tiszabercel,48.15,21.65,28.99,69,90,14.97,HU,2021-02-07 01:58:28,overcast clouds
581,Tiznit,29.5833,-9.5,48.06,87,53,13.11,MA,2021-02-07 01:57:53,broken clouds
582,Novopokrovka,49.8425,36.5477,8.6,72,40,8.95,UA,2021-02-07 01:58:28,scattered clouds
583,Parati,-23.2178,-44.7131,68.95,80,20,3.22,BR,2021-02-07 01:58:29,few clouds
584,Portobelo,9.55,-79.65,81.0,99,100,8.95,PA,2021-02-07 01:58:29,overcast clouds
585,Klaksvik,62.2266,-6.589,35.6,60,40,17.27,FO,2021-02-07 01:58:29,scattered clouds
586,Humboldt,40.6665,-123.9178,48.99,93,90,11.5,US,2021-02-07 01:58:30,overcast clouds
587,Stornoway,58.2093,-6.3865,37.4,70,75,18.41,GB,2021-02-07 01:58:30,broken clouds
588,Kinablangan,7.6947,126.5503,78.93,88,100,5.95,PH,2021-02-07 01:58:30,overcast clouds
