City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,Ashtabula,41.7001,-80.7665,23,53,1,14.97,US,2/6/2021 17:11
169,Hualmay,-11.0964,-77.6139,74.79,67,93,8.97,PE,2/6/2021 17:11
170,Dingle,10.9995,122.6711,74.98,91,71,8.25,PH,2/6/2021 17:12
171,Dawei,14.0833,98.2,70.86,69,0,3.11,MM,2/6/2021 17:12
172,Hambantota,6.1241,81.1185,78.08,83,86,18.9,LK,2/6/2021 17:12
173,Vila Velha,-20.3297,-40.2925,87.8,62,20,12.66,BR,2/6/2021 17:11
174,Arman,59.7,150.1667,0.14,88,98,9.69,RU,2/6/2021 17:12
175,Jalu,29.0331,21.5482,66.58,30,55,8.43,LY,2/6/2021 17:12
176,Opuwo,-18.0607,13.84,84.09,37,100,5.41,NA,2/6/2021 17:12
177,Kousseri,12.0769,15.0306,84.2,13,9,6.91,CM,2/6/2021 17:12
178,Mujiayingzi,42.1167,118.7833,8.82,92,96,2.57,CN,2/6/2021 17:12
179,Russell,32.3502,-85.1999,51.8,46,90,11.5,US,2/6/2021 17:12
